"Enable Permissions","Rechten inschakelen"
"Permissions are currently disabled. To enable permissions, go to System > Configuration > Content Management > Clever CMS.","Rechtenbeheer is op dit moment uitgeschakeld. Om rechten in te schakelen, ga naar Systeem > Configuratie > CMS-instellingen"
"An error occurred while saving permissions.","Er is een fout opgetreden bij het opslaan van de rechten."
"Permissions have been successfully saved.","De rechten zijn succesvol opgeslagen."
"Manage Content Permissions","Beheer contentrechten"
"Save Permissions","Rechten opslaan"
"Pages Permissions","Pagina rechten"
"Choose Customer Group","Kies klantgroep"
"Please confirm customer group switching. All data that hasn't been saved will be lost.","Weet u zeker dat u van klantgroep wilt veranderen. Al uw niet opgeslagen gegevens gaan verloren."
"Permissions","Rechten"
"Manage Content","Beheer content"
"Manage Permissions","Beheer rechten"
"URL Key","URL-key"
"Include in Navigation Menu","Toon in navigatie"
"Leave blank for automatic generation.<br />URL is relative to parent URL. Current URL: %s","Laat leeg voor om automatisch in te vullen.<br />URL is relatief aan de bovenliggende pagina URL."
"Create Permanent Redirect for URLs if URL Key Changed","Maak een permanente redirect aan voor URL's als de URL-key veranderd."
"Add Page", "Pagina toevoegen"
"Edit Page '%s'","Pagina wijzgigen: %s"
"Show Homepage Link in Navigation Menu","Toon homepagina-link in navigatiemenu"
